Location,SKU,Product,Loc Name,Spoken Description,Starter Qty,State,lang_desc,Sequence,Verification
Full,164756,20OZ WM PL 1/24 GAT G2 CL BLU,,twenty ounce gatorade G 2 blue,0,ENABLED,ENGLISH,930,ALLOWCHECKDIGITS
Bulk,142666,20OZ WM PL 1/24 GAT GLCR CHE,3140,twenty ounce singles gatorade glacier cherry,0,ENABLED,ENGLISH,3140,ALLOWCHECKDIGITS
Full,142666,20OZ WM PL 1/24 GAT GLCR CHE,3140,twenty ounce singles gatorade glacier cherry,0,ENABLED,ENGLISH,3140,ALLOWCHECKDIGITS
Bulk,85526,20OZ WM PL 1/24 GAT GLCR FRZ,3430,twenty ounce gatorade glacier freeze,0,ENABLED,ENGLISH,3430,ALLOWCHECKDIGITS
Full,85526,20OZ WM PL 1/24 GAT GLCR FRZ,3430,twenty ounce gatorade glacier freeze,0,ENABLED,ENGLISH,3430,ALLOWCHECKDIGITS
Bulk,85520,20OZ WM PL 1/24 GAT LL,3440,twenty ounce gatorade lemon lime,0,ENABLED,ENGLISH,3440,ALLOWCHECKDIGITS
Full,85520,20OZ WM PL 1/24 GAT LL,3440,twenty ounce gatorade lemon lime,0,ENABLED,ENGLISH,3440,ALLOWCHECKDIGITS
Bulk,85524,20OZ WM PL 1/24 GAT ORG,3450,twenty ounce gatorade orange,0,ENABLED,ENGLISH,3450,ALLOWCHECKDIGITS
Full,85524,20OZ WM PL 1/24 GAT ORG,3450,twenty ounce gatorade orange,0,ENABLED,ENGLISH,3450,ALLOWCHECKDIGITS
Bulk,169373,20OZ WM PL 1/24 GAT ZRO GLCR CHE,3130,twenty ounce singles gatorade zero glacier cherry,0,ENABLED,ENGLISH,3130,ALLOWCHECKDIGITS
Full,169373,20OZ WM PL 1/24 GAT ZRO GLCR CHE,3130,twenty ounce singles gatorade zero glacier cherry,0,ENABLED,ENGLISH,3130,ALLOWCHECKDIGITS
Bulk,169374,20OZ WM PL 1/24 GAT ZRO GLCR FRZ,3120,twenty ounce singles gatorade zero glacier freeze,0,ENABLED,ENGLISH,3120,ALLOWCHECKDIGITS
