Zone,SKU,Description,Cases,Picked,Orders,Remaining,UPC,Cases / Order
BULK,170567,16.9OZ PL PK12/2 LPT STH SWT IT,12,0,7,12,'012000184574,1
BULK,171111,15.2OZ PL 1/12 DOL TROP FP,13,1,11,12,'012000190063,1
BULK,171481,12OZ CN 24/1CB MDEW BJA BLST,27,2,10,25,'012000190599,2
BULK,171614,20OZ WM PL 8/3 GAT ZR GRP,7,3,5,4,'052000044270,1
BULK,171615,20OZ WM PL 8/3 GAT ZR FT PNCH,15,3,9,12,'052000044263,1
BULK,171618,12OZ PL 12/2 GAT ZR GRP,16,0,10,16,'052000044294,1
BULK,171619,12OZ PL 12/2 GAT ZR FT PNCH,22,0,11,22,'052000044287,2
BULK,171846,12OZ CN 8/3 FM BUBLY BBRY POMSPK,2,0,2,2,'012000190797,1
BULK,172179,20OZ PL 1/24 MDEW ZRO,8,0,8,8,'012000191435,1
BULK,172230,12OZ CN 12/2 FM MDEW ZRO,18,0,7,18,'012000191442,2
BULK,173477,6.5OZ CN PK 4/6 STRBK DSESP AMBLK,1,0,1,1,'012000192395,1
BULK,173490,12OZ PL 6/4 GAT CL BLU,118,0,23,118,'052000041668,5
BULK,173492,12OZ PL 6/4 GAT GLCR CHE,34,0,7,34,'052000103106,4
BULK,173497,12OZ PL 6/4 GAT GLCR FRZ,29,0,14,29,'052000041651,2
BULK,173502,14OZ PL 1/12 MM P40 STW CRM,11,3,9,8,'876063007160,1
BULK,173509,12OZ PL 18/1 GAT ZRO GLCR,170,0,21,170,'052000043693,8
BULK,173510,7.5OZ CN 10/3 PEPSI RL SGR,12,0,8,12,'012000192524,1
BULK,173515,12OZ PL 18/1 GAT FRZ/CHE/BLTZ,3,0,1,3,'052000014693,3
BULK,173516,16.9OZ PLPK18/1 PRPL BRY/KS/G,47,0,12,47,'052000014846,3
BULK,173551,12OZ CN 24/1CB MDEW ZRO,17,0,8,17,'012000192746,2
BULK,173929,6.5OZ CN 1/12 STRBK DSESP AMBLK,58,0,2,58,'012000008955,29
BULK,174204,20OZ PL 1/24 DOL LMND,13,0,12,13,'012000064494,1
BULK,174205,20OZ PL 1/24 DOL STRW LMND,16,3,15,13,'012000064500,1
BULK,174207,2L PL 1/8S DOL STRW LMND,31,1,21,30,'012000064531,1
BULK,174224,2L PL 1/8S DOL LMD,14,0,6,14,'012000064524,2
BULK,174228,9.6OZ CN 1/12 STRBK NTRO CB UNS,5,0,4,5,'012000192869,1
BULK,174231,9.6OZ CN 1/12 STRBK NTRO VAN,6,0,4,6,'012000192906,1
BULK,192475,16.9OZ PL PK 6/4S MDEW ZRO,12,0,8,12,'012000192722,1
BULK,192794,12OZ PL 18/1 GAT FP FGC CB,133,15,10,118,'052000045734,13
BULK,193331,12OZ CN 12/2 FM MDEW FRST BTE,15,3,9,12,'012000194221,1
BULK,193614,12OZ PL 18/1 GAT ZR FT/ORG/GRP,76,0,14,76,'052000046458,5
BULK,194190,16.9OZ PL PK12/2 LIT GA PCH,107,5,30,102,'012000112249,3
BULK,194513,16.9OZ PLPK18/1 PRPL PCH/BC/WM,8,0,5,8,'052000046519,1
BULK,195059,1.25L PL 1/12 PEPSI ZR SGR,2,1,2,1,'012000203206,1
BULK,195692,1.25L PL 1/12 CRSH GRP,3,1,2,2,'078000035070,1
BULK,196428,12OZ PL 12/2 GAT ZRO CL BLU,3,0,2,3,'052000047103,1
BULK,196432,20OZ WM PL 8/3 GAT ZRO STW KW,1,0,1,1,'052000047059,1
BULK,196433,20OZ WM PL 8/3 GAT ZRO CL BLU,3,1,3,2,'052000047066,1
BULK,196446,28OZ PL 1/15 GAT ZR CL BLU,10,0,9,10,'052000047042,1
BULK,197242,1.25L PL 1/12 MDEW BJA BLST,4,1,4,3,'012000205149,1
BULK,197257,16OZ CN 1/12 RKSTR SF,6,0,6,6,'818094005753,1
BULK,197259,16OZ CN 1/12 RKSTR PNCHD,20,0,16,20,'818094005746,1
BULK,197261,16OZ CN 1/12 RKSTR PRZR SLVIC,3,1,3,2,'818094005807,1
BULK,197590,12OZ PL 12/2 GAT LME CUCMBR,8,0,5,8,'052000047684,1
BULK,197610,20OZ WM PL 8/3 GAT LME CUCMBR,5,0,5,5,'052000047660,1
BULK,197729,12OZ CN 12/2 FM MDEW MMLN ZR,3,0,1,3,'012000205071,3
BULK,197743,64OZ PL 1/8 LPT DT LPT IT GTCT SR,12,0,12,12,'012000205828,1
BULK,197747,64OZ PL 1/8 LPT LPT IT SWT SR,1,0,1,1,'012000205866,1
BULK,197752,64OZ PL 1/8 LPT LPT IT PCH SR,4,1,3,3,'012000205842,1
BULK,197754,64OZ PL 1/8 LPT LPT IT GT CIT SR,17,1,17,16,'012000205804,1
BULK,197779,16OZ CN 1/12 RKSTR ENRG,17,3,16,14,'818094005777,1
BULK,198148,64OZ PL 1/8 LPT LPT IT PCH GA SR,22,1,20,21,'012000205842,1
BULK,198657,16OZ CN 1/12 RKSTR PRZR PN,3,0,3,3,'818094005814,1
BULK,199214,20OZ PL 1/12 GAT GLYT STW KW,22,1,18,21,'052000047912,1
BULK,199215,20OZ PL 1/12 GAT GLYT ORG,31,1,23,30,'052000047905,1
BULK,199373,20OZ PL 1/12 GAT GLYT CHE LM,18,0,14,18,'052000049008,1
BULK,199448,16.9OZ PL 6/2 LIT PLF GT,6,0,3,6,'012000206542,2
BULK,199655,20OZ PL 1/12 PRPL PRPL BRY,6,0,6,6,'052000707779,1
BULK,199656,20OZ PL 1/12 PRPL PRPL GRP,7,1,6,6,'052000707793,1
BULK,199660,20OZ PL 1/12 PRPL PRPL WTRMLN,1,0,1,1,'052000013580,1
BULK,199785,20OZ PL 1/12 PRPL PRPL STW KW,16,0,12,16,'052000707786,1
BULK,200205,16.9OZ PK12/1LPPL LIT PLF EXSWT,11,0,5,11,'012000206825,2
BULK,200409,12OZ CN 8/3 FM BUBLY CCNT PN FM,9,0,8,9,'012000206863,1
BULK,202055,20OZ PL 1/12 PRPL PRPL STRW LMD,5,0,4,5,'052000041538,1
BULK,202765,1L PL 6/2 PRM LIFEWTR CORR,30,0,10,30,'012000170027,3
BULK,202899,16.9OZ PL PK12/2 DT LPT IT GA PCH,34,2,16,32,'012000017001,2
BULK,203378,28OZ PL 1/15 GAT ZR LME CUCMBR,3,0,3,3,'052000050288,1
BULK,203771,16.9OZ PLPK18/1 PRPL IMS LB/OR/PP,6,0,3,6,'052000050639,2
BULK,204238,13.7OZ NR 1/12 FRAP OMLK CRWFCK,2,0,2,2,'012000210808,1
