Zone,SKU,Description,Cases,Picked,Orders,Remaining,UPC,Cases / Order
LAYER,83789,12OZ CN 12/2 FM BRSK SWL,150,100,13,50,'012000810091,11
LAYER,92374,16.9OZ PL PK12/2 DT LPT GT CIT,36,36,3,0,'012000012792,12
LAYER,92376,16.9OZ PL PK12/2 LIT GT CIT,12,12,1,0,'012000012761,12
LAYER,130563,20OZ WM PL 8/3 GAT LL,54,54,6,0,'052000208054,9
LAYER,130564,20OZ WM PL 8/3 GAT FT PNCH,81,63,8,18,'052000208061,10
LAYER,130565,20OZ WM PL 8/3 GAT ORG,18,18,1,0,'052000208078,18
LAYER,130566,20OZ WM PL 8/3 GAT GLCR FRZ,9,0,1,9,'052000208085,9
LAYER,130572,20OZ WM PL 8/3 GAT CL BLU,36,27,4,9,'052000208443,9
LAYER,134803,12OZ PL 18/1 GAT AS LL/ORG/FP,195,150,11,45,'052000123241,17
LAYER,135649,12OZ PL 12/2 GAT CL BLU,190,150,15,40,'052000122060,12
LAYER,135798,12OZ PL 12/2 GATORADE FRUIT PU,110,80,10,30,'052000121964,11
LAYER,135800,12OZ PL 12/2 GAT LL,90,80,9,10,'052000121780,10
LAYER,135801,12OZ PL 12/2 GAT ORG,60,40,6,20,'052000129373,10
LAYER,135863,12OZ PL 12/2 GAT GLCR FRZ,50,50,5,0,'052000122510,10
LAYER,136718,12OZ PL 18/1 GAT AS BRY STW GR,150,105,10,45,'052000123258,15
LAYER,192794,12OZ PL 18/1 GAT FP FGC CB,165,75,10,90,'052000045734,16
TOTAL,497,,15009,2326,5675,12683,,2
