Location,SKU,Product,Loc Name,Spoken Description,Starter Qty,State,lang_desc,Sequence,Verification
Bulk,168958,12OZ PL 12/2 GAT ZRO GLCR FRZ,6420,twelve ounce twelve pack gatorade zero glacier freeze,0,ENABLED,ENGLISH,6420,ALLOWCHECKDIGITS
Bulk,325611,12OZCN12/2SLCEL VP CLASSIC POP,,CEL CLASSIC POP,0,ENABLED,ENGLISH,999,ALLOWCHECKDIGITS
